ward_id,small_area,weight
10103005,1620021,0.836203126742
10103005,1620030,0.0719687967531
10103005,1610005,1.22939942584e-06
10103005,1610007,6.68445279808e-07
10103005,1620006,0.982521317927
10103005,1640002,6.3673214286e-06
10103005,1620002,0.506204445033
10103005,1620008,0.170793155213
10103005,1620074,0.989198417366
10103005,1620071,0.00216110119473
10103005,1620059,0.000185822624276
10103005,1620007,0.00664136561535
10103005,1620069,0.00831132402662
10103005,1620058,0.00481006248308
10103005,1620005,0.262388969459
10103005,1620076,0.0263255491474
10103005,1620068,1.37060755794e-05
10103005,1620054,0.669042304326
10103005,1640110,9.11862879112e-07
10103005,1620037,1.0
10103005,1620015,1.0
10103005,1620036,1.0
10103005,1620028,1.0
10103005,1620003,0.696137234084
10103006,1620050,0.678180805058
10103006,1620021,0.163792952369
10103006,1620030,0.92802817243
10103006,1610007,6.00288281873e-07
10103006,1620064,0.00220078132606
10103006,1620041,0.000224255531487
10103006,1620033,0.322482895212
10103006,1620034,0.999917521627
10103006,1620075,0.495397582617
10103006,1630159,7.59713008953e-07
10103006,1620066,0.999066690083
10103006,1620049,1.0
10103006,1620076,0.973674450853
10103006,1630088,3.46900514198e-06
10103006,1620068,0.999984025015
10103006,1620054,0.330957695674
10103006,1640110,3.90187107852e-06
10103006,1620003,0.303858139286
10103007,1620051,1.0
10103007,1620073,1.0
10103007,1620042,1.0
10103007,1620047,0.999966803853
10103007,1620040,1.0
10103007,1620064,0.997757905178
10103007,1620057,1.0
10103007,1620032,1.0
10103007,1620048,1.0
10103007,1620065,1.0
10103007,1620018,1.0
10103007,1620056,1.0
10103007,1620062,1.0
10103007,1620070,1.0
10103007,1620009,1.0
10103007,1620041,0.999775744468
10103007,1620029,1.0
10103007,1620063,1.0
10103007,1630087,2.10011406304e-06
10103007,1630151,1.06939147747e-06
10103007,1620033,0.677517104788
10103007,1620075,0.504593708015
10103007,1630159,2.32796195529e-07
10103007,1620066,0.000931660156802
10104001,1630137,0.10454657003
10104001,1630122,0.735827359752
10104001,1630105,0.00859385832246
10104001,1630001,6.95756736726e-07
10104001,1630004,1.0
10104001,1630011,0.913580462713
10104001,1630015,0.00195947050762
10104001,1630018,1.0
10104001,1630021,1.0
10104001,1630029,1.0
10104001,1630030,0.022473956607
10104001,1630036,0.629512087316
10104001,1630049,0.000522537914481
10104001,1630059,0.460473365817
10104001,1630060,1.0
10104001,1630066,0.000157456784754
10104001,1630070,1.0
