precinct,population
HUMANSDORP,34097.91762790746
TSHITALE,41106.29902975209
KUYASA,10071.988120449434
MOTHUTLUNG,12229.964391401283
MHLUZI,88044.6639603845
PRESTBURY,14452.062949919578
MOUNT FRERE,111229.94782371823
ADDO,20938.32524486311
MSINSINI,37504.87146976317
REIVILO,7214.393124673888
MOTHIBISTAD,68818.34075973742
MANGAUNG,51858.20851384188
BELL,6847.74119296648
ZAAIPLAAS,14816.911420400837
GELVANDALE,75022.42126171975
STEINKOPF,8382.529881107515
COOKHOUSE,8758.58728138545
BETHULIE,7302.296372531975
VRYHEID,63896.132500833315
ALICEDALE,4420.374556739926
HARTBEESFONTEIN,29646.87052896899
STERKSPRUIT,59302.918426977994
NAVALSIG,13879.478110990762
BEACON BAY,30944.81728460222
KRAAIFONTEIN,165572.17725296304
KRANSKOP,56330.06757182277
TULBAGH,18758.54011721202
NUWERUS,5068.665897089806
VAN ZYLSRUS,2860.3172135340346
FICKSBURG,45413.45481495797
MALETSWAI,17911.534209356625
MAMELODI,72532.86406813338
WATERPOORT,3868.198600869234
EDENPARK,82491.7574230457
MAITLAND,19529.234185066365
FAIRLAND,21498.55075082093
KWANOBUHLE,105584.65486363496
ACORNHOEK,127623.36023872506
INGOGO,4039.917146950777
SALDANHA,28968.292686682547
VORSTERSHOOP,730.2797693346959
FRANKLIN,3928.6823784847884
BRIGHTON BEACH,35017.25309988123
ELLIOT,18116.625572415993
DORING BAY,3305.7912832191228
LADYSMITH,105649.65825872931
CLOETESVILLE,51189.624252985006
SINOVILLE,68869.02457603421
VUWANI,82843.85970083611
RICHARDS BAY,76031.30844210024
BAINSVLEI,21456.7092517006
MAKGOBISTAD,16500.208626233358
MUSINA,57284.04683617086
BURGERSDORP,18757.934805151395
KEI MOUTH,3054.280000091715
LOTHAIR,14358.24272844913
MONTCLAIR,34525.71086745125
POFADDER,3548.7273091107436
STEYNSBURG,8625.689234963755
INYIBIBA,43243.959774906805
BOTHITHONG,33673.873371199996
GALESHEWE,78685.15729358
STRUISBAAI,4512.299663029762
ESHOWE,98146.75332922004
HUHUDI,26625.749996035123
NORTHAM,30767.581321055128
BALFOUR,4208.916526676901
NORVALSPONT,1373.8985322851804
PHILIPSTOWN,3984.875296975948
BEKKERSDAL,77220.76869567794
KOMGA,10401.788042336948
ALBERTINIA,8328.043016665773
NABABEEP,17464.37060877891
SEVERN,4088.014807529969
ESIKHAWINI,115280.25109746317
NDUMO,39281.79205028902
MOYENI,7233.492471318283
SEA POINT,24807.55772874274
MBAZWANA,42733.79381056079
SANNIESHOF,16212.604832698042
BULWER,56546.81279939235
DE DEUR,79798.99633316687
KAREEDOUW,9773.59051256271
MAKWASSIE,17635.682191402455
BOTHASIG,26681.44872158717
SWARTBERG,3299.2320162426895
MAOKENG,73905.91367474911
OLIFANTSFONTEIN,40709.81287555329
DURBAN NORTH,39849.61268089007
TEMBISA,276366.7044170092
HEBRON,42052.2110287046
THOHOYANDOU,299409.58526041167
BELLVILLE SOUTH,29295.421507178577
PRETORIA CENTRAL,53175.411961606456
DALASILE,37047.832697542035
PARKVIEW,38408.26265077798
KAAPMUIDEN,2905.676725936698
VREDENDAL,25740.086539223936
FISH HOEK,20287.211535859336
ALGOAPARK,35483.428245183626
MIDDELBURG(EC),21707.39135031314
GLUCKSTADT,20280.842142569476
DURBAN CENTRAL,49002.48551322059
NTABAMHLOPHE,45088.149995184474
EAST LONDON,73860.21204687437
DIMBAZA,44408.01463081167
EZINQOLENI,59904.87012123835
ELLIOTDALE,55301.933017037874
MAAKE,161331.70862185687
KLEINBULHOEK,9952.981024999117
MILNERTON,86089.22648987155
NEW HANOVER,17947.645158694988
HENDERSON,840.692816374351
MHALA,134436.67611921494
EMBALENHLE,119140.64657415861
MOOINOOI,42964.31333918778
BEDFORDVIEW,38767.43363656574
HLABABOMVU,32222.5483016302
COMMITTEES,367.3050748782226
BARKLY WEST,22943.167529643033
HERCULES,47330.339022203516
LOUWSBURG,16122.164917221862
MADADENI,157124.88449100903
DALTON,17860.9718332684
MADIKWE,62231.51103534437
SECUNDA,39866.913827873126
TIERPOORT,2334.3353872499506
KRUGERSDORP,126326.78340610044
TARLTON,15110.278669615262
KWAGGAFONTEIN,97643.3008571308
BOSHOEK,4896.029224218203
UMBUMBULU,47650.254034764504
TOM BURKE,11849.661887406428
NQAMAKWE,67479.22976234277
ZONKIZIZWE,80910.53800215434
DAWN PARK,80306.41669526041
QUMBU,43206.04876975971
PAUL ROUX,8098.345589001614
CREIGHTON,14010.258426799375
INDWE,9128.883873909504
EMATIMATOLO,33306.76491916705
HEIDELBERG (GP),25889.65304033336
PERDEKOP,8312.460569638331
SELOSESHA,66834.88477172158
WEPENER,10444.028682955784
JEPPE,63720.98715285088
UITENHAGE,41395.17632607226
NGANGELIZWE,57617.03445967268
